CREATE TABLE students (
    prenom VARCHAR(50) NOT NULL,
    nom VARCHAR(50) NOT NULL,
    matricule VARCHAR(10) NOT NULL,
    cours1 VARCHAR(10),
    cours2 VARCHAR(10),
    cours3 VARCHAR(10),
    cours4 VARCHAR(10)
);

INSERT INTO students (prenom, nom, matricule, cours1, cours2, cours3, cours4) VALUES
('Nadia', 'Dumont', '873443', 'SYS2', 'MAT1', 'SYS2', NULL),
('Samira', 'Boulabiar', '444750', 'NET1', 'MAT1', 'NET1', NULL),
('Jean', 'Dumont', '160427', 'MAT1', 'SYS2', 'RAS1', NULL),
('Yves', 'Nguyen', '359795', 'NET1', 'NET1', 'MAT1', NULL),
('Omar', 'Mertens', '674245', 'RAS1', 'NET1', 'MAT1', NULL),
('Jean', 'Maes', '436927', 'RAS1', 'SYS2', 'RAS1', NULL),
('Maria', 'Dumont', '962273', 'RAS1', 'NET1', 'DEV2', NULL),
('Jean', 'Vermeulen', '839211', 'DEV2', 'RAS1', 'NET1', 'DEV2'),
('Hassan', 'Maes', '876618', 'SYS2', 'DEV2', 'RAS1', NULL),
('Amina', 'Van den Broeck', '229983', 'DEV2', 'SYS2', 'SYS2', NULL),
('Fatima', 'Janssens', '340716', 'SYS2', 'RAS1', 'SYS2', 'SYS2'),
('Hassan', 'Vermeulen', '275993', 'MAT1', 'MAT1', 'NET1', NULL),
('Lina', 'Dupont', '303830', 'MAT1', 'SYS2', 'MAT1', NULL),
('Yves', 'Boulabiar', '979914', 'NET1', 'SYS2', 'DEV2', 'RAS1'),
('Amina', 'Martin', '427413', 'SYS2', 'RAS1', 'DEV2', NULL),
('Omar', 'Mertens', '272011', 'RAS1', 'SYS2', 'NET1', NULL),
('Luc', 'Maes', '489172', 'NET1', 'SYS2', 'RAS1', NULL),
('Amina', 'Vermeulen', '933665', 'RAS1', 'MAT1', 'DEV2', NULL),
('Leila', 'Dubois', '740784', 'RAS1', 'RAS1', 'SYS2', NULL),
('Omar', 'Janssens', '783051', 'SYS2', 'MAT1', 'SYS2', NULL),
('Yves', 'Schmit', '612494', 'RAS1', 'SYS2', 'DEV2', 'SYS2'),
('Sofia', 'Mertens', '390907', 'DEV2', 'DEV2', 'DEV2', NULL),
('Samira', 'Boulabiar', '318725', 'RAS1', 'NET1', 'DEV2', 'DEV2'),
('Sofia', 'Van den Broeck', '661732', 'MAT1', 'DEV2', 'RAS1', NULL),
('Samira', 'Maes', '278879', 'RAS1', 'MAT1', 'RAS1', NULL),
('Jean', 'Janssens', '542278', 'DEV2', 'SYS2', 'MAT1', NULL),
('Yves', 'Van den Broeck', '875817', 'MAT1', 'RAS1', 'SYS2', NULL),
('Lina', 'Declercq', '481451', 'SYS2', 'RAS1', 'RAS1', NULL),
('Antoine', 'Lefevre', '874354', 'NET1', 'NET1', 'DEV2', 'DEV2'),
('Omar', 'Van den Broeck', '346709', 'DEV2', 'RAS1', 'RAS1', 'RAS1'),
('Amina', 'Van den Broeck', '337954', 'MAT1', 'DEV2', 'DEV2', NULL),
('Fatima', 'Peeters', '647169', 'SYS2', 'SYS2', 'DEV2', 'NET1'),
('David', 'Mertens', '225449', 'SYS2', 'DEV2', 'MAT1', NULL),
('Omar', 'Mertens', '131266', 'MAT1', 'MAT1', 'NET1', NULL),
('Luc', 'Dupont', '983125', 'MAT1', 'MAT1', 'DEV2', 'NET1'),
('Maria', 'Declercq', '969906', 'RAS1', 'NET1', 'NET1', NULL),
('Leila', 'Vandenberghe', '413793', 'SYS2', 'RAS1', 'RAS1', 'NET1'),
('Ahmed', 'Mertens', '325720', 'MAT1', 'SYS2', 'SYS2', NULL),
('Omar', 'Lefevre', '849846', 'DEV2', 'SYS2', 'SYS2', 'NET1'),
('Hassan', 'Simon', '998480', 'NET1', 'RAS1', 'DEV2', 'DEV2'),
('Maria', 'De Smet', '941653', 'SYS2', 'DEV2', 'NET1', NULL),
('Yves', 'Lemaire', '439255', 'NET1', 'RAS1', 'RAS1', NULL),
('Luc', 'Vermeulen', '255067', 'RAS1', 'MAT1', 'NET1', NULL),
('Amina', 'Lemaire', '103995', 'MAT1', 'SYS2', 'NET1', NULL),
('Fatima', 'Maes', '962050', 'MAT1', 'NET1', 'RAS1', 'MAT1'),
('Jean', 'De Smet', '713854', 'DEV2', 'MAT1', 'NET1', 'MAT1'),
('Nadia', 'Vermeulen', '743993', 'RAS1', 'MAT1', 'SYS2', NULL),
('Ahmed', 'De Smet', '725770', 'RAS1', 'NET1', 'RAS1', NULL),
('Nadia', 'Schmit', '826118', 'DEV2', 'SYS2', 'NET1', NULL);
